,ST_CASE,HARM_EV_2015
0,10001,Embankment
1,10002,Ditch
2,10003,Tree (Standing Only)
3,10004,Mail Box
4,10005,Motor Vehicle In-Transport
5,10006,Rollover/Overturn
6,10007,Other Fixed Object
7,10008,Pedestrian
8,10009,Bridge Rail (Includes Parapet)
9,10010,Motor Vehicle In-Transport
10,10011,Motor Vehicle In-Transport
11,10012,Motor Vehicle In-Transport
12,10013,Rollover/Overturn
13,10014,Rollover/Overturn
14,10015,Rollover/Overturn
15,10016,Motor Vehicle In-Transport
16,10017,Tree (Standing Only)
17,10018,Tree (Standing Only)
18,10019,Rollover/Overturn
19,10020,Motor Vehicle In-Transport
20,10021,Motor Vehicle In-Transport
21,10022,Guardrail End
22,10023,Tree (Standing Only)
23,10024,Tree (Standing Only)
24,10025,Other Object (Not Fixed)
25,10026,Curb
26,10027,Motor Vehicle In-Transport
27,10028,Rollover/Overturn
28,10029,Traffic Sign Support
29,10030,Motor Vehicle In-Transport
30,10031,Pedestrian
31,10032,Ditch
32,10033,Tree (Standing Only)
33,10034,Motor Vehicle In-Transport
34,10035,Motor Vehicle In-Transport
35,10036,Motor Vehicle In-Transport
36,10037,Tree (Standing Only)
37,10038,Fence
38,10039,Ditch
39,10040,Pedestrian
40,10041,Other Object (Not Fixed)
41,10042,Pedestrian
42,10043,Building
43,10044,Guardrail End
44,10045,Traffic Sign Support
45,10046,Tree (Standing Only)
46,10047,Building
47,10048,Traffic Sign Support
48,10049,Motor Vehicle In-Transport
49,10050,Pedestrian
50,10051,Motor Vehicle In-Transport
51,10052,Culvert
52,10053,Embankment
53,10054,Motor Vehicle In-Transport
54,10055,Pedestrian
55,10056,Traffic Sign Support
56,10057,Motor Vehicle In-Transport
57,10058,Rollover/Overturn
58,10059,Pedestrian
59,10060,Motor Vehicle In-Transport
60,10061,Rollover/Overturn
61,10062,Building
62,10063,Rollover/Overturn
63,10064,Pedestrian
64,10065,Motor Vehicle In-Transport
65,10066,Tree (Standing Only)
66,10067,Motor Vehicle In-Transport
67,10068,Rollover/Overturn
68,10069,Pedestrian
69,10070,Ditch
70,10071,Motor Vehicle In-Transport
